country,region,income_level,platform_name,domain,website_url,app_link,platform_format,platform_type,platform_classification,tier,tier_label,target_audience,accessible_without_account,offline_functionality,mobile_compatible,working_links,regularly_updated,interactive_content,fln_resources,accessible_for_disabilities,available_languages,national_languages_covered,available,has_url,generic_hosting,notes
Mozambique,Sub-Saharan Africa,Low income,Instituto de Educaçao Aberta e à Distância,ead.mined.gov.mz,http://ead.mined.gov.mz/site/,,resource hub,"YouTube, Notesmaster",national,1,Tier 1,students and teachers,yes,no,no,yes,no,no,no,no,Portuguese,yes,True,True,False,"- Most recent YouTube videos were posted in 2020
- Has the option to create an account to access interactive content and lessons running in the platform Notemaster"
Myanmar,East Asia & Pacific,Lower middle income,DAE-Myanmar School Education Lessons (YouTube Channel),youtube.com,https://www.youtube.com/channel/UChGaOLaNOD0wsfLTS18_OWg/videos,,other,YouTube,other,3,Other,students and teachers,yes,no,yes,yes,yes,no,yes,no,Burmese,yes,True,True,False,FLN: The platform includes videos on basic literacy and math
Myanmar,East Asia & Pacific,Lower middle income,MoE Radio Lessons ,moe.gov.mm,http://www.moe.gov.mm/?q=radio-lessons,,other,,national,1,Tier 1,students and teachers,yes,no,yes,yes,unknown,no,yes,no,Burmese,yes,True,True,False,This is a section on the MoE website that includes audio resources for distance learning
Namibia,Sub-Saharan Africa,Upper middle income,Namibia Reads,,,https://play.google.com/store/apps/details?id=com.skc.namibiareads&hl=en_US&gl=US,unknown,,unknown,1,Tier 1,students and teachers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,English,yes,False,False,False,"""This app is not available in your country"""
Namibia,Sub-Saharan Africa,Upper middle income,Learn On One,learnonone.org,https://learnonone.org/,,resource hub,WhatsApp,unknown,1,Tier 1,students,yes,no,yes,yes,yes,no,yes,no,English,yes,True,True,False,Some videos on the website include sign languages. The website includes a built-in WhatsApp feature for users to ask questions. FLN resource. 
Nauru,East Asia & Pacific,High income,,,,,,,unknown,1,Tier 1,,,,,,,,,,,,True,False,False,
Nepal,South Asia,Lower middle income,E-Paath,epaath.olenepal.org,https://epaath.olenepal.org/,,resource hub,OLE Nepal,national,1,Tier 1,students,yes,no,yes,yes,no,yes,yes,no,"English, Neplai",yes,True,True,False,"- The Ministry of Education is only one of several partners. The platform is primariliy managed by OLE (Open Learning Exchange) Nepal.
- As per both the Google Mobile Friendly Test and the simulator plug-in, it runs on a basic smartphone.
- Includes FLN content: Numeracy, English Literacy, Nepali Numeracy "
Nepal,South Asia,Lower middle income,E-Pustakalaya (Web),pustakalaya.org,https://pustakalaya.org/en/,,resource hub,OLE Nepal,unknown,1,Tier 1,students and teachers,yes,no,yes,yes,no,yes,yes,no,"English, Neplai",yes,True,True,False,"- The Ministry of Education is only one of several partners. The platform is primariliy managed by OLE (Open Learning Exchange) Nepal.
- As per the smartphone simulator pulgin, it is accessible on a basic smartphone. However, the Google Mobile Friendly Test was not able to test this website."
Nepal,South Asia,Lower middle income,E-Pustakalaya (App),,,https://play.google.com/store/apps/details?id=epustakalaya.ole.com.epustakalaya&pcampaignid=pcampaignidMKT-Other-global-all-co-prtnr-py-PartBadge-Mar2515-1,resource hub,OLE Nepal,unknown,1,Tier 1,students and teachers,yes,no,yes,no,no,unknown,no,no,"English, Neplai",yes,True,False,False,"- The Ministry of Education is only one of several partners. The platform is primariliy managed by OLE (Open Learning Exchange) Nepal.
- This is the App that accompanies the web based platform.
- Only the PDF matetial on the App works, the links for the video and audio content dont work. The error message reads: ""This feature will be available in next release"""
Nepal,South Asia,Lower middle income,Learning Portal,learning.cehrd.edu.np,https://learning.cehrd.edu.np/home,,resource hub,,national,1,Tier 1,students and teachers,yes,no,no,yes,no,yes,yes,no,"English, Neplai",yes,True,True,False,"- FLN content available in the form of:  ""Early Grade Reading"" 
- As per the Google Mobile Friendly Test as well as the smartphone simulator plugin, this does not runt on a basic smartphone."
Nicaragua,Latin America & Caribbean,Lower middle income,Nicaragua Educa,nicaraguaeduca.mined.gob.ni,https://nicaraguaeduca.mined.gob.ni/,,resource hub,,national,1,Tier 1,students and teachers,yes,yes,no,yes,yes,no,yes,yes,Spanish,yes,True,True,False,"- Videos and podcasts can be downloaded
- Resources can not be accessed on a mobile view."
Niger,Sub-Saharan Africa,Low income,Imaginecole,niger.imaginecole.africa,https://niger.imaginecole.africa/,,resource hub,,national,1,Tier 1,students and teachers,yes,no,yes,yes,no,no,no,no,French,yes,True,True,False,
Nigeria,Sub-Saharan Africa,Lower middle income,TDP Resource Hub,tdpnigeria.org,http://www.tdpnigeria.org/home,,resource hub,,national,1,Tier 1,teachers,yes,no,yes,yes,no,no,yes,no,English,yes,True,True,False,foundational numeracy resources for teachers: http://www.tdpnigeria.org/in-service/multi-tgv-mathematics
